"region_id","region_code","region_name","country_id"
1,"CUY","Cuyo",10
2,"GBA+CABA","Gran Buenos Aires + Ciudad Autónoma de Buenos Aires",10
3,"NEA","Noreste Argentino",10
4,"NOA","Noroeste Argentino",10
5,"PAM","Pampeana",10
6,"PAT","Patagonia",10
7,"CO","Centro-oeste",30
8,"NE","Nordeste",30
9,"N","Norte",30
10,"SE","Sudeste",30
11,"S","Sul",30
12,"BAJ","Bajio",155
13,"CTR","Centro",155
14,"NOR","Norte",155
15,"NORE","Noroeste",155
16,"OEST","Oeste",155
17,"SURE","Sureste",155
18,"SURO","Suroeste",155
