carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Nuvem Envio,ne-correios-sedex,Nuvem Envio - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Nuvem Envio,ne-correios-pac,Nuvem Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Correo Argentino Shipping,CPD,Correo Argentino Shipping - Clásico domicilio,,Clásico domicilio,2025-08-07 16:10:53
Correo Argentino Shipping,CPS,Correo Argentino Shipping - Clásico sucursal,,Clásico sucursal,2025-08-07 16:10:53
Mandaê,Econômico,Mandaê - Econômico,,Econômico,2025-08-07 16:10:53
Andreani Online,Andreani2,Andreani Online - Domicílio estándar,,Domicílio estándar,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-clasico-domicilio,Envío Nube - Correo Argentino - Clásico domicilio,Correo Argentino,Clásico domicilio,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-clasico-sucursal,Envío Nube - Correo Argentino - Clásico sucursal,Correo Argentino,Clásico sucursal,2025-08-07 16:10:53
Nuvem Envio,ne-jadlog-package,Nuvem Envio - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Total Express,EXP2022Digibee,Total Express - Econômico,,Econômico,2025-08-07 16:10:53
Andreani Online,Andreani3,Andreani Online - Sucursal,,Sucursal,2025-08-07 16:10:53
Shipnow,shipnow_pap_estandar,Shipnow - Domicilio estandar,,Domicilio estándar,2025-08-07 16:10:53
Melhor Envio,2,Melhor Envio - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Melhor Envio,4,Melhor Envio - Jadlog - .Com,Jadlog,.Com,2025-08-07 16:10:53
Mandaê,Rápido,Mandaê - Rápido,,Rápido,2025-08-07 16:10:53
Melhor Envio,31,Melhor Envio - Loggi - Express,Loggi,Express,2025-08-07 16:10:53
OCA,doorToDoor,OCA - Puerta a Puerta,,Puerta a Puerta,2025-08-07 16:10:53
Melhor Envio,1,Melhor Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Melhor Envio,28,Melhor Envio - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Melhor Envio,3,Melhor Envio - Jadlog - .Package,Jadlog,.Package,2025-08-07 16:10:53
Envío Nube,ne-andreani-domicilio,Envío Nube - Andreani - Domicilio,Andreani,Domicilio,2025-08-07 16:10:53
Nuvem Envio,ne-correios-mini,Nuvem Envio - Correios - MINI,Correios,MINI,2025-08-07 16:10:53
Urbano Envios,UrbanoPaq,Urbano Envios - Express,,Express,2025-08-07 16:10:53
Frenet,LOG_VIP_WS,Frenet - Loggi - Expresso,Loggi,Expresso,2025-08-07 16:10:53
Correo Argentino Shipping,EPD,Correo Argentino Shipping - Expreso domicilio,,Expreso domicilio,2025-08-07 16:10:53
Frenet,03220,Frenet - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Manda Bem,PAC,Manda Bem - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Manda Bem,SEDEX,Manda Bem - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Frenet,03298,Frenet - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
Frenet,J&T_WS,Frenet - J&T - Express,J&T,Express,2025-08-07 16:10:53
Nuvem Envio,ne-loggi-economic,Nuvem Envio - Loggi - Econômico,Loggi,Econômico,2025-08-07 16:10:53
Melhor Envio,33,Melhor Envio - J&T - Standard,J&T,Standard,2025-08-07 16:10:53
Shipnow,shipnow_pas_estandar,Shipnow - Retiro sucursal,,Retiro sucursal,2025-08-07 16:10:53
JadLog,3,Jadlog - .Package,,.Package,2025-08-07 16:10:53
SuperFrete,sedex,SuperFrete - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
OCA,doorToStore,OCA - Puerta a Sucursal,,Puerta a Sucursal,2025-08-07 16:10:53
Shippy,320|1984,Shippy - Express,,Express,2025-08-07 16:10:53
SuperFrete,pac,SuperFrete - Correios - PAC,Correios,PAC,2025-08-07 16:10:53
OCA,storeToDoor,OCA - Sucursal a Puerta,,Sucursal a Puerta,2025-08-07 16:10:53
Nuvem Envio,ne-jadlog-com,Nuvem Envio - Jadlog - .Com,Jadlog,.Com,2025-08-07 16:10:53
E-pick,epick-option-1,E-pick - Domicilio,,Domicilio,2025-08-07 16:10:53
Envío Nube,ne-correo-arg-expreso-domicilio,Envío Nube - Correo Argentino - Expreso domicilio,Correo Argentino,Expreso domicilio,2025-08-07 16:10:53
Envío Nube,ne-andreani-sucursal,Envío Nube - Andreani - Sucursal,Andreani,Sucursal,2025-08-07 16:10:53
Shippy,296|1801,Shippy - Loggi,,Loggi,2025-08-07 16:10:53
BRCom,sedex,BRCom - Correios - SEDEX,Correios,SEDEX,2025-08-07 16:10:53
Fast Mail,fastmail_2,Fast Mail - Serviço 72h,,Serviço 72h,2025-08-07 16:10:53
Frenet,LOG_WS_2,Frenet - Loggi - Econômico,Loggi,Econômico,2025-08-07 16:10:53
SouthPost,SOUTHPOSTS.A._8,SouthPost - Domicilio,,Domicilio,2025-08-07 16:10:53
Jipink,JIPINK_EXPRESS,Jipink - Domicilio express,,Domicilio express,2025-08-07 16:10:53
OCA,storeToStore,OCA - Sucursal a Sucursal,,Sucursal a Sucursal,2025-08-07 16:10:53
Frenet,LOG_VIP,Frenet - Loggi - Expresso,Loggi,Expresso,2025-08-07 16:10:53
Shippy,295|1798,Shippy - Express,,Express,2025-08-07 16:10:53
Correo Argentino Shipping,EPS,Correo Argentino Shipping - Expreso sucursal,,Expreso sucursal,2025-08-07 16:10:53
Frenet,EXP,Frenet - Total Express,,Total Express,2025-08-07 16:10:53
