Keyword,Category,Country,Date,Searches
apanio,Branded,CL,8/1/2021,210
apanio,Branded,CL,9/1/2021,320
apanio,Branded,CL,10/1/2021,170
apanio,Branded,CL,11/1/2021,260
apanio,Branded,CL,12/1/2021,390
apanio,Branded,CL,1/1/2022,210
apanio,Branded,CL,2/1/2022,390
apanio,Branded,CL,3/1/2022,260
apanio,Branded,CL,4/1/2022,320
apanio,Branded,CL,5/1/2022,260
apanio,Branded,CL,6/1/2022,320
apanio,Branded,CL,7/1/2022,480
apanio,Branded,CL,8/1/2022,720
apanio,Branded,CL,9/1/2022,720
apanio,Branded,CL,10/1/2022,880
apanio,Branded,CL,11/1/2022,720
apanio,Branded,CL,12/1/2022,720
apanio,Branded,CL,1/1/2023,720
apanio,Branded,CL,2/1/2023,480
apanio,Branded,CL,3/1/2023,720
apanio,Branded,CL,4/1/2023,720
apanio,Branded,CL,5/1/2023,720
apanio,Branded,CL,6/1/2023,1600
apanio,Branded,CL,7/1/2023,720
apanio,Branded,CL,8/1/2023,880
apanio,Branded,CL,9/1/2023,590
apanio,Branded,CL,10/1/2023,880
apanio,Branded,CL,11/1/2023,880
apanio,Branded,CL,12/1/2023,720
apanio,Branded,CL,1/1/2024,720
apanio,Branded,CL,2/1/2024,480
apanio,Branded,CL,3/1/2024,720
apanio,Branded,CL,4/1/2024,880
apanio,Branded,CL,5/1/2024,880
apanio,Branded,CL,6/1/2024,720
apanio,Branded,CL,7/1/2024,1000
apanio,Branded,CL,8/1/2024,1300
apanio,Branded,CL,9/1/2024,1000
apanio,Branded,CL,10/1/2024,1300
apanio,Branded,CL,11/1/2024,1600
apanio,Branded,CL,12/1/2024,1600
apanio,Branded,CL,1/1/2025,1300
apanio,Branded,CL,2/1/2025,720
apanio,Branded,CL,3/1/2025,880
apanio,Branded,CL,4/1/2025,1300
apanio,Branded,CL,5/1/2025,1900
apanio,Branded,CL,6/1/2025,2400
apanio,Branded,CL,7/1/2025,1900
apanio,Branded,CL,8/1/2025,1900
apanio,Branded,CL,9/1/2025,1300
apanio,Branded,CL,10/1/2025,1300
bsale,Branded,CL,8/1/2021,49500
bsale,Branded,CL,9/1/2021,49500
bsale,Branded,CL,10/1/2021,49500
bsale,Branded,CL,11/1/2021,49500
bsale,Branded,CL,12/1/2021,49500
bsale,Branded,CL,1/1/2022,49500
bsale,Branded,CL,2/1/2022,40500
bsale,Branded,CL,3/1/2022,49500
bsale,Branded,CL,4/1/2022,40500
bsale,Branded,CL,5/1/2022,49500
bsale,Branded,CL,6/1/2022,40500
bsale,Branded,CL,7/1/2022,40500
bsale,Branded,CL,8/1/2022,49500
bsale,Branded,CL,9/1/2022,40500
bsale,Branded,CL,10/1/2022,40500
bsale,Branded,CL,11/1/2022,49500
bsale,Branded,CL,12/1/2022,40500
bsale,Branded,CL,1/1/2023,40500
bsale,Branded,CL,2/1/2023,40500
bsale,Branded,CL,3/1/2023,40500
bsale,Branded,CL,4/1/2023,40500
bsale,Branded,CL,5/1/2023,49500
bsale,Branded,CL,6/1/2023,40500
bsale,Branded,CL,7/1/2023,40500
bsale,Branded,CL,8/1/2023,40500
bsale,Branded,CL,9/1/2023,40500
bsale,Branded,CL,10/1/2023,40500
bsale,Branded,CL,11/1/2023,40500
bsale,Branded,CL,12/1/2023,40500
bsale,Branded,CL,1/1/2024,40500
bsale,Branded,CL,2/1/2024,40500
bsale,Branded,CL,3/1/2024,40500
bsale,Branded,CL,4/1/2024,40500
bsale,Branded,CL,5/1/2024,40500
bsale,Branded,CL,6/1/2024,40500
bsale,Branded,CL,7/1/2024,40500
bsale,Branded,CL,8/1/2024,40500
bsale,Branded,CL,9/1/2024,40500
bsale,Branded,CL,10/1/2024,49500
bsale,Branded,CL,11/1/2024,40500
bsale,Branded,CL,12/1/2024,49500
bsale,Branded,CL,1/1/2025,49500
bsale,Branded,CL,2/1/2025,40500
bsale,Branded,CL,3/1/2025,49500
bsale,Branded,CL,4/1/2025,49500
bsale,Branded,CL,5/1/2025,49500
bsale,Branded,CL,6/1/2025,49500
bsale,Branded,CL,7/1/2025,49500
bsale,Branded,CL,8/1/2025,49500
bsale,Branded,CL,9/1/2025,49500
bsale,Branded,CL,10/1/2025,60500
ecwid,Branded,CL,8/1/2021,590
ecwid,Branded,CL,9/1/2021,480
ecwid,Branded,CL,10/1/2021,480
ecwid,Branded,CL,11/1/2021,480
ecwid,Branded,CL,12/1/2021,320
ecwid,Branded,CL,1/1/2022,390
ecwid,Branded,CL,2/1/2022,390
ecwid,Branded,CL,3/1/2022,390
ecwid,Branded,CL,4/1/2022,320
ecwid,Branded,CL,5/1/2022,390
ecwid,Branded,CL,6/1/2022,390
ecwid,Branded,CL,7/1/2022,390
ecwid,Branded,CL,8/1/2022,390
ecwid,Branded,CL,9/1/2022,260
ecwid,Branded,CL,10/1/2022,320
ecwid,Branded,CL,11/1/2022,390
ecwid,Branded,CL,12/1/2022,390
ecwid,Branded,CL,1/1/2023,390
ecwid,Branded,CL,2/1/2023,320
ecwid,Branded,CL,3/1/2023,320
ecwid,Branded,CL,4/1/2023,320
ecwid,Branded,CL,5/1/2023,390
ecwid,Branded,CL,6/1/2023,260
ecwid,Branded,CL,7/1/2023,260
ecwid,Branded,CL,8/1/2023,260
ecwid,Branded,CL,9/1/2023,210
ecwid,Branded,CL,10/1/2023,210
ecwid,Branded,CL,11/1/2023,260
ecwid,Branded,CL,12/1/2023,260
ecwid,Branded,CL,1/1/2024,210
ecwid,Branded,CL,2/1/2024,170
ecwid,Branded,CL,3/1/2024,320
ecwid,Branded,CL,4/1/2024,210
ecwid,Branded,CL,5/1/2024,260
ecwid,Branded,CL,6/1/2024,320
ecwid,Branded,CL,7/1/2024,210
ecwid,Branded,CL,8/1/2024,210
ecwid,Branded,CL,9/1/2024,210
ecwid,Branded,CL,10/1/2024,260
ecwid,Branded,CL,11/1/2024,210
ecwid,Branded,CL,12/1/2024,210
ecwid,Branded,CL,1/1/2025,210
ecwid,Branded,CL,2/1/2025,210
ecwid,Branded,CL,3/1/2025,320
ecwid,Branded,CL,4/1/2025,170
ecwid,Branded,CL,5/1/2025,260
ecwid,Branded,CL,6/1/2025,210
ecwid,Branded,CL,7/1/2025,210
ecwid,Branded,CL,8/1/2025,210
ecwid,Branded,CL,9/1/2025,170
ecwid,Branded,CL,10/1/2025,170
falabella,Marketplace,CL,8/1/2021,4090000
falabella,Marketplace,CL,9/1/2021,3350000
falabella,Marketplace,CL,10/1/2021,4090000
falabella,Marketplace,CL,11/1/2021,3350000
falabella,Marketplace,CL,12/1/2021,3350000
falabella,Marketplace,CL,1/1/2022,2740000
falabella,Marketplace,CL,2/1/2022,2240000
falabella,Marketplace,CL,3/1/2022,2740000
falabella,Marketplace,CL,4/1/2022,2740000
falabella,Marketplace,CL,5/1/2022,4090000
falabella,Marketplace,CL,6/1/2022,2740000
falabella,Marketplace,CL,7/1/2022,2740000
falabella,Marketplace,CL,8/1/2022,2740000
falabella,Marketplace,CL,9/1/2022,2240000
falabella,Marketplace,CL,10/1/2022,3350000
falabella,Marketplace,CL,11/1/2022,2740000
falabella,Marketplace,CL,12/1/2022,3350000
falabella,Marketplace,CL,1/1/2023,2240000
falabella,Marketplace,CL,2/1/2023,2240000
falabella,Marketplace,CL,3/1/2023,2240000
falabella,Marketplace,CL,4/1/2023,2240000
falabella,Marketplace,CL,5/1/2023,4090000
falabella,Marketplace,CL,6/1/2023,2240000
falabella,Marketplace,CL,7/1/2023,2240000
falabella,Marketplace,CL,8/1/2023,2240000
falabella,Marketplace,CL,9/1/2023,1830000
falabella,Marketplace,CL,10/1/2023,3350000
falabella,Marketplace,CL,11/1/2023,2740000
falabella,Marketplace,CL,12/1/2023,2740000
falabella,Marketplace,CL,1/1/2024,2240000
falabella,Marketplace,CL,2/1/2024,1830000
falabella,Marketplace,CL,3/1/2024,2240000
falabella,Marketplace,CL,4/1/2024,2240000
falabella,Marketplace,CL,5/1/2024,2240000
falabella,Marketplace,CL,6/1/2024,3350000
falabella,Marketplace,CL,7/1/2024,1830000
falabella,Marketplace,CL,8/1/2024,1830000
falabella,Marketplace,CL,9/1/2024,2240000
falabella,Marketplace,CL,10/1/2024,2240000
falabella,Marketplace,CL,11/1/2024,2240000
falabella,Marketplace,CL,12/1/2024,2740000
falabella,Marketplace,CL,1/1/2025,1830000
falabella,Marketplace,CL,2/1/2025,1830000
falabella,Marketplace,CL,3/1/2025,2240000
falabella,Marketplace,CL,4/1/2025,1830000
falabella,Marketplace,CL,5/1/2025,2240000
falabella,Marketplace,CL,6/1/2025,3350000
falabella,Marketplace,CL,7/1/2025,1830000
falabella,Marketplace,CL,8/1/2025,1830000
falabella,Marketplace,CL,9/1/2025,1830000
falabella,Marketplace,CL,10/1/2025,2740000
jumpseller,Branded,CL,8/1/2021,9900
jumpseller,Branded,CL,9/1/2021,8100
jumpseller,Branded,CL,10/1/2021,8100
jumpseller,Branded,CL,11/1/2021,8100
jumpseller,Branded,CL,12/1/2021,8100
jumpseller,Branded,CL,1/1/2022,8100
jumpseller,Branded,CL,2/1/2022,8100
jumpseller,Branded,CL,3/1/2022,8100
jumpseller,Branded,CL,4/1/2022,8100
jumpseller,Branded,CL,5/1/2022,8100
jumpseller,Branded,CL,6/1/2022,6600
jumpseller,Branded,CL,7/1/2022,6600
jumpseller,Branded,CL,8/1/2022,8100
jumpseller,Branded,CL,9/1/2022,6600
jumpseller,Branded,CL,10/1/2022,6600
jumpseller,Branded,CL,11/1/2022,6600
jumpseller,Branded,CL,12/1/2022,6600
jumpseller,Branded,CL,1/1/2023,6600
jumpseller,Branded,CL,2/1/2023,6600
jumpseller,Branded,CL,3/1/2023,8100
jumpseller,Branded,CL,4/1/2023,8100
jumpseller,Branded,CL,5/1/2023,8100
jumpseller,Branded,CL,6/1/2023,8100
jumpseller,Branded,CL,7/1/2023,8100
jumpseller,Branded,CL,8/1/2023,8100
jumpseller,Branded,CL,9/1/2023,6600
jumpseller,Branded,CL,10/1/2023,8100
jumpseller,Branded,CL,11/1/2023,8100
jumpseller,Branded,CL,12/1/2023,6600
jumpseller,Branded,CL,1/1/2024,8100
jumpseller,Branded,CL,2/1/2024,6600
jumpseller,Branded,CL,3/1/2024,8100
jumpseller,Branded,CL,4/1/2024,9900
jumpseller,Branded,CL,5/1/2024,8100
jumpseller,Branded,CL,6/1/2024,8100
jumpseller,Branded,CL,7/1/2024,8100
jumpseller,Branded,CL,8/1/2024,8100
jumpseller,Branded,CL,9/1/2024,8100
jumpseller,Branded,CL,10/1/2024,8100
jumpseller,Branded,CL,11/1/2024,8100
jumpseller,Branded,CL,12/1/2024,8100
jumpseller,Branded,CL,1/1/2025,8100
jumpseller,Branded,CL,2/1/2025,6600
jumpseller,Branded,CL,3/1/2025,8100
jumpseller,Branded,CL,4/1/2025,8100
jumpseller,Branded,CL,5/1/2025,8100
jumpseller,Branded,CL,6/1/2025,8100
jumpseller,Branded,CL,7/1/2025,8100
jumpseller,Branded,CL,8/1/2025,8100
jumpseller,Branded,CL,9/1/2025,8100
jumpseller,Branded,CL,10/1/2025,9900
kichink,Branded,CL,8/1/2021,40
kichink,Branded,CL,9/1/2021,30
kichink,Branded,CL,10/1/2021,20
kichink,Branded,CL,11/1/2021,20
kichink,Branded,CL,12/1/2021,20
kichink,Branded,CL,1/1/2022,20
kichink,Branded,CL,2/1/2022,20
kichink,Branded,CL,3/1/2022,10
kichink,Branded,CL,4/1/2022,10
kichink,Branded,CL,5/1/2022,10
kichink,Branded,CL,6/1/2022,10
kichink,Branded,CL,7/1/2022,20
kichink,Branded,CL,8/1/2022,20
kichink,Branded,CL,9/1/2022,10
kichink,Branded,CL,10/1/2022,10
kichink,Branded,CL,11/1/2022,20
kichink,Branded,CL,12/1/2022,10
kichink,Branded,CL,1/1/2023,10
kichink,Branded,CL,2/1/2023,10
kichink,Branded,CL,3/1/2023,10
kichink,Branded,CL,4/1/2023,20
kichink,Branded,CL,5/1/2023,20
kichink,Branded,CL,6/1/2023,10
kichink,Branded,CL,7/1/2023,10
kichink,Branded,CL,8/1/2023,10
kichink,Branded,CL,9/1/2023,10
kichink,Branded,CL,10/1/2023,10
kichink,Branded,CL,11/1/2023,10
kichink,Branded,CL,12/1/2023,0
kichink,Branded,CL,1/1/2024,10
kichink,Branded,CL,2/1/2024,10
kichink,Branded,CL,3/1/2024,10
kichink,Branded,CL,4/1/2024,10
kichink,Branded,CL,5/1/2024,10
kichink,Branded,CL,6/1/2024,10
kichink,Branded,CL,7/1/2024,10
kichink,Branded,CL,8/1/2024,10
kichink,Branded,CL,9/1/2024,10
kichink,Branded,CL,10/1/2024,10
kichink,Branded,CL,11/1/2024,10
kichink,Branded,CL,12/1/2024,10
kichink,Branded,CL,1/1/2025,10
kichink,Branded,CL,2/1/2025,10
kichink,Branded,CL,3/1/2025,10
kichink,Branded,CL,4/1/2025,10
kichink,Branded,CL,5/1/2025,10
kichink,Branded,CL,6/1/2025,10
kichink,Branded,CL,7/1/2025,10
kichink,Branded,CL,8/1/2025,10
kichink,Branded,CL,9/1/2025,10
kichink,Branded,CL,10/1/2025,10
