"plan","grupo","namev2"
1,no-stores,no-stores
2,plan-c,plan-escala
3,plan-b,plan-impulso
4,no-stores,no-stores
5,plan-b,plan-tiendanube
6,no-stores,no-stores
7,no-stores,no-stores
8,plan-b,plan-plus
9,no-stores,no-stores
10,no-stores,no-stores
11,plan-c,plan-escala
12,no-stores,no-stores
13,no-stores,no-stores
14,no-stores,no-stores
15,no-stores,no-stores
19,no-stores,no-stores
20,no-stores,no-stores
21,no-stores,no-stores
22,no-stores,no-stores
23,plan-b,plan-impulso
24,plan-c,plan-escala
25,no-stores,no-stores
26,test_broken,test_broken
27,test_broken,test_broken
28,no-stores,no-stores
29,no-stores,no-stores
30,no-stores,no-stores
31,no-stores,no-stores
32,no-stores,no-stores
33,no-stores,no-stores
34,no-stores,no-stores
35,no-stores,no-stores
36,no-stores,no-stores
37,no-stores,no-stores
38,no-stores,no-stores
39,no-stores,no-stores
40,no-stores,no-stores
41,no-stores,no-stores
42,no-stores,no-stores
43,plan-a,plan-essencial
44,plan-b,plan-impulso
45,plan-c,plan-escala
46,no-stores,no-stores
47,no-stores,no-stores
48,plan-c,plan-escala
49,no-stores,no-stores
50,no-stores,no-stores
51,no-stores,no-stores
52,no-stores,no-stores
53,no-stores,no-stores
54,no-stores,no-stores
55,no-stores,no-stores
56,no-stores,no-stores
57,no-stores,no-stores
58,no-stores,no-stores
59,no-stores,no-stores
60,no-stores,no-stores
61,no-stores,no-stores
62,no-stores,no-stores
63,no-stores,no-stores
64,plan-c,plan-escala
65,lojinha,lojinha
66,plan-a,plan-basico
67,plan-b,plan-tiendanube
68,plan-c,plan-avanzado
69,lojinha,plan-basico
70,plan-a,plan-esencial
71,plan-b,plan-impulso
72,plan-c,plan-escala
73,no-stores,no-stores
74,plan-a,plan-essencial
75,plan-b,plan-impulso
76,plan-c,plan-escala
77,lojinha,plan-basico
78,plan-a,plan-full
79,plan-b,plan-plus
80,plan-c,plan-avanzado
81,no-stores,no-stores
82,no-stores,no-stores
83,no-stores,no-stores
84,plan-a,plan-essencial
85,plan-b,plan-impulso
86,plan-c,plan-escala
87,no-stores,no-stores
88,plan-b,plan-impulso
89,no-stores,no-stores
90,no-stores,no-stores
91,no-stores,no-stores
92,plan-b,plan-impulso
93,plan-c,plan-escala
94,lojinha,plan-basico
95,plan-a,plan-essencial
96,plan-b,plan-impulso
97,plan-c,plan-escala
98,no-stores,no-stores
99,no-stores,no-stores
100,no-stores,no-stores
101,no-stores,no-stores
102,no-stores,no-stores
103,zero-fee,colaboradores
104,zero-fee,colaboradores
105,plan-a,plan-essencial
106,plan-b,plan-impulso
107,plan-c,plan-escala
108,no-stores,no-stores
109,no-stores,no-stores
110,no-stores,no-stores
111,no-stores,no-stores
112,no-stores,no-stores
113,no-stores,no-stores
114,no-stores,no-stores
115,no-stores,no-stores
116,no-stores,no-stores
117,no-stores,no-stores
118,plan-b,plan-impulso
119,plan-c,plan-escala
120,no-stores,no-stores
121,no-stores,no-stores
122,no-stores,no-stores
123,no-stores,no-stores
124,no-stores,no-stores
125,no-stores,no-stores
126,no-stores,no-stores
127,no-stores,no-stores
128,no-stores,no-stores
129,no-stores,no-stores
130,no-stores,no-stores
131,no-stores,no-stores
132,no-stores,no-stores
133,plan-a,plan-esencial
134,plan-b,plan-impulso
135,plan-c,plan-escala
136,no-stores,no-stores
137,plan-a,plan-essencial
138,no-stores,no-stores
139,plan-c,plan-escala
140,no-stores,no-stores
141,no-stores,no-stores
142,no-stores,no-stores
143,plan-c,plan-escala
144,no-stores,no-stores
145,plan-a,plan-esencial
146,plan-c,plan-escala
147,plan-c,plan-escala
155,zero-fee,colaboradores
156,plan-a,plan-essencial
157,plan-b,plan-impulso
158,plan-c,plan-escala
159,no-stores,no-stores
160,plan-a,plan-essencial
161,plan-b,plan-impulso
162,plan-c,plan-escala
163,no-stores,no-stores
164,no-stores,no-stores
165,no-stores,no-stores
166,no-stores,no-stores
167,no-stores,no-stores
168,no-stores,no-stores
169,no-stores,no-stores
170,plan-c,plan-escala
171,no-stores,no-stores
172,no-stores,no-stores
173,no-stores,no-stores
174,no-stores,no-stores
175,no-stores,no-stores
176,no-stores,no-stores
177,no-stores,no-stores
178,plan-c,plan-escala
179,no-stores,no-stores
180,no-stores,no-stores
181,no-stores,no-stores
182,no-stores,no-stores
183,no-stores,no-stores
184,no-stores,no-stores
185,no-stores,no-stores
186,no-stores,no-stores
187,no-stores,no-stores
188,no-stores,no-stores
189,no-stores,no-stores
190,plan-a,plan-essencial
191,plan-b,plan-impulso
192,no-stores,no-stores
193,no-stores,no-stores
194,no-stores,no-stores
195,no-stores,no-stores
196,no-stores,no-stores
197,no-stores,no-stores
198,no-stores,no-stores
199,no-stores,no-stores
200,no-stores,no-stores
201,zero-fee,colaboradores
202,plan-a,plan-essencial
203,plan-b,plan-impulso
204,plan-c,plan-escala
205,zero-fee,colaboradores
206,no-stores,no-stores
207,plan-b,plan-impulso
208,plan-c,plan-escala
209,no-stores,no-stores
210,no-stores,no-stores
211,no-stores,no-stores
212,plan-a,plan-essencial
213,plan-b,plan-impulso
214,plan-c,plan-escala
215,no-stores,no-stores
216,no-stores,no-stores
217,plan-a,plan-essencial
218,plan-b,plan-impulso
219,plan-c,plan-escala
220,plan-c,plan-escala
221,no-stores,no-stores
222,no-stores,no-stores
223,plan-a,plan-essencial
224,plan-b,plan-impulso
225,plan-c,plan-escala
226,no-stores,no-stores
227,lojinha,plan-basico
228,plan-a,plan-essencial
229,plan-b,plan-impulso
230,plan-c,plan-escala
231,plan-c,plan-escala
232,enterprise,next
233,no-stores,no-stores
234,no-stores,no-stores
235,no-stores,no-stores
236,no-stores,no-stores
237,plan-a,plan-essencial
238,plan-b,plan-impulso
239,no-stores,no-stores
240,no-stores,no-stores
241,no-stores,no-stores
242,plan-a,plan-esencial
243,no-stores,no-stores
244,no-stores,no-stores
245,plan-a,plan-essencial
246,plan-b,plan-impulso
247,plan-c,plan-escala
248,enterprise,next
249,plan-a,plan-basico
250,plan-a,plan-basico
251,plan-c,plan-avanzado
252,enterprise,evolucion
253,enterprise,next
254,enterprise,next
255,enterprise,next
256,no-stores,no-stores
257,no-stores,no-stores
258,plan-c,plan-escala
259,enterprise,evolucion
260,no-stores,no-stores
261,no-stores,no-stores
262,no-stores,no-stores
263,no-stores,no-stores
264,no-stores,no-stores
265,plan-c,plan-escala
266,enterprise,next
267,enterprise,next
268,no-stores,no-stores
269,no-stores,no-stores
270,plan-c,plan-escala
271,plan-a,plan-essencial
272,plan-b,plan-impulso
273,plan-c,plan-escala
274,plan-a,plan-esencial
275,plan-b,plan-impulso
276,plan-c,plan-escala
277,plan-a,plan-esencial
278,plan-b,plan-impulso
279,plan-c,plan-escala
280,no-stores,no-stores
281,no-stores,no-stores
282,no-stores,no-stores
283,lojinha,plan-basico
284,lojinha,plan-basico
285,enterprise,next
286,enterprise,next
287,enterprise,next
288,enterprise,next
289,enterprise,next
290,enterprise,next
291,enterprise,next
292,enterprise,next
293,enterprise,next
294,enterprise,next
295,enterprise,next
296,enterprise,next
297,enterprise,next
298,enterprise,evolucion
299,no-stores,no-stores
300,lojinha,plan-basico
301,plan-a,plan-esencial
302,plan-b,plan-impulso
303,plan-c,plan-escala
304,lojinha,plan-basico
305,plan-a,plan-esencial
306,plan-b,plan-impulso
307,plan-c,plan-escala
308,lojinha,plan-basico
309,plan-a,plan-esencial
310,plan-b,plan-impulso
311,plan-c,plan-escala
312,enterprise,next
313,enterprise,next
314,plan-a,plan-esencial
315,no-stores,no-stores
316,plan-c,plan-escala
317,enterprise,evolucion
318,plan-a,plan-esencial
319,no-stores,no-stores
320,enterprise,evolucion
321,plan-a,plan-basico
322,plan-b,plan-tiendanube
323,plan-c,plan-avanzado
324,lojinha,plan-basico
325,plan-a,plan-essencial
326,plan-b,plan-impulso
327,plan-c,plan-escala
328,lojinha,plan-basico
329,plan-a,plan-esencial
330,plan-b,plan-impulso
331,plan-c,plan-escala
